route,id,name,lat,lon,type,altitude,height,width
SBSP-VP-001 (Parallel 1),11,Geometric GN_95,-23.531514765733224,-46.78514040623323,Geometric Node,914.4,305,457
SBSP-VP-001 (Parallel 1),12,Geometric GN_94,-23.525396003261594,-46.800037359544724,Geometric Node,914.4,305,457
SBSP-VP-001 (Parallel 1),13,RODOANEL_CASTELO,-23.524213115023954,-46.8312133140757,Waypoint,914.4,305,457
SBSP-VP-001 (Parallel 1),14,VP-001,-23.4866666666667,-46.8566666666667,Vertiport,760,305,457
SBSP-VP-001 (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-001 (Parallel 2),2,WASHINGTON_LUIS,-23.63665850041658,-46.669733867925274,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 2),3,Geometric GN_144,-23.624653353200753,-46.67996656185584,Geometric Node,1219,305,457
SBSP-VP-001 (Parallel 2),4,Geometric GN_143,-23.617431167571162,-46.68928430393754,Geometric Node,1219,305,457
SBSP-VP-001 (Parallel 2),5,PONTE_ESTAIADA,-23.615038702335013,-46.69985846078359,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 2),6,AVENIDA_MORUMBI,-23.61386824332514,-46.713903968902265,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 2),7,Geometric GN_142,-23.60350120211205,-46.72519212142447,Geometric Node,1219,305,457
SBSP-VP-001 (Parallel 2),8,EXTRA_JAGUARE,-23.558444881381675,-46.749621817867954,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 2),9,SHOPPING_CONTINENTAL,-23.54862388753205,-46.75795478234651,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 2),10,CEBOLAO,-23.527936308853118,-46.753241156824735,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 2),11,Geometric GN_95,-23.535910743800176,-46.786640075771494,Geometric Node,914.4,305,457
SBSP-VP-001 (Parallel 2),12,Geometric GN_94,-23.52972637500093,-46.80169540276628,Geometric Node,914.4,305,457
SBSP-VP-001 (Parallel 2),13,RODOANEL_CASTELO,-23.528440976139947,-46.83330837205112,Waypoint,914.4,305,457
SBSP-VP-001 (Parallel 2),14,VP-001,-23.4866666666667,-46.8566666666667,Vertiport,760,305,457
SBSP-VP-002 (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-002 (Parallel 1),2,CLUBE_SIRIO,-23.60810696321042,-46.65030859567146,Waypoint,1219,305,457
SBSP-VP-002 (Parallel 1),3,CEBOLINHA,-23.59282164368213,-46.64846381572834,Waypoint,1219,305,457
SBSP-VP-002 (Parallel 1),4,ANA_ROSA,-23.582272984713864,-46.63490125419782,Waypoint,1219,305,457
SBSP-VP-002 (Parallel 1),5,VP-002,-23.5622222222222,-46.655,Vertiport,760,305,457
SBSP-VP-002 (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-002 (Parallel 2),2,CLUBE_SIRIO,-23.607448592345182,-46.65524695988414,Waypoint,1219,305,457
SBSP-VP-002 (Parallel 2),3,CEBOLINHA,-23.590511689651272,-46.653202850938264,Waypoint,1219,305,457
SBSP-VP-002 (Parallel 2),4,ANA_ROSA,-23.581615904174935,-46.64176541246878,Waypoint,1219,305,457
SBSP-VP-002 (Parallel 2),5,VP-002,-23.5622222222222,-46.655,Vertiport,760,305,457
